iter	Passed	Remaining
0	47	47439
1	48	24246
2	49	16369
3	49	12420
4	50	10051
5	51	8473
6	51	7353
7	52	6513
8	53	5854
9	53	5324
10	54	4901
11	55	4549
12	55	4244
13	56	3983
14	57	3758
15	57	3554
16	58	3380
17	59	3226
18	59	3092
19	60	2967
20	61	2854
21	62	2765
22	62	2675
23	64	2602
24	64	2529
25	65	2457
26	66	2388
27	66	2323
28	67	2261
29	68	2204
30	68	2152
31	69	2103
32	70	2056
33	70	2014
34	71	1972
35	72	1933
36	72	1895
37	73	1860
38	74	1832
39	75	1805
40	75	1777
41	76	1749
42	77	1724
43	78	1700
44	79	1677
45	79	1651
46	80	1627
47	80	1605
48	81	1584
49	82	1563
50	82	1541
51	83	1521
52	84	1506
53	84	1489
54	85	1472
55	86	1456
56	87	1440
57	87	1423
58	88	1410
59	89	1394
60	89	1380
61	90	1366
62	91	1353
63	91	1340
64	92	1328
65	93	1318
66	93	1306
67	94	1300
68	95	1290
69	96	1280
70	97	1269
71	97	1258
72	98	1247
73	98	1238
74	99	1228
75	100	1219
76	100	1208
77	101	1198
78	102	1189
79	102	1180
80	103	1171
81	103	1163
82	104	1154
83	105	1147
84	105	1139
85	106	1132
86	107	1125
87	108	1119
88	108	1113
89	109	1107
90	110	1101
91	111	1095
92	111	1088
93	112	1081
94	112	1074
95	113	1068
96	114	1064
97	115	1059
98	115	1052
99	116	1046
100	116	1040
101	117	1034
102	118	1028
103	118	1023
104	119	1018
105	120	1012
106	120	1004
107	120	996
108	120	988
109	121	980
110	121	973
111	121	965
112	122	958
113	122	951
114	122	944
115	123	938
116	123	930
117	123	924
118	124	918
119	124	912
120	124	905
121	124	899
122	125	893
123	125	887
124	125	881
125	126	875
126	126	869
127	126	863
128	127	858
129	127	853
130	127	847
131	128	842
132	128	837
133	128	832
134	129	826
135	129	821
136	129	817
137	130	812
138	130	807
139	130	802
140	130	797
141	131	792
142	131	787
143	131	782
144	131	778
145	132	773
146	132	769
147	132	764
148	133	760
149	133	756
150	134	753
151	134	749
152	134	745
153	134	741
154	135	737
155	135	733
156	135	729
157	136	725
158	136	721
159	136	718
160	137	714
161	137	710
162	137	706
163	138	703
164	138	700
165	138	696
166	139	693
167	139	690
168	139	687
169	140	684
170	140	681
171	140	678
172	141	675
173	141	672
174	141	669
175	142	666
176	142	662
177	142	659
178	143	656
179	143	654
180	143	651
181	144	648
182	144	645
183	144	642
184	145	640
185	145	637
186	145	634
187	146	631
188	146	629
189	146	626
190	147	623
191	147	620
